Period,Mock_Exam Average,Exit_Exam Result
1st,54.2,71
1st,41.8,54
1st,26.2,48
1st,49.3,53
1st,52.9,61
1st,49.7,52
1st,35.4,49
1st,33.2,47
1st,42.3,57
1st,64.8,79
1st,46.9,57
1st,35.4,53
1st,53.8,79
1st,0,43
1st,47.5,62
1st,51.8,67
1st,62.9,82
1st,38.5,52
1st,45,58
1st,49.4,68
1st,58.7,73
1st,50.2,72
1st,40,60
1st,45,66
1st,0,58
1st,57.2,81
1st,33.8,64
1st,30,43
1st,57.4,74
1st,47.9,71
1st,49.2,71
1st,60,64
1st,38.8,65
1st,61.4,76
1st,33.5,55
1st,51.3,69
1st,47.9,64
1st,65.5,82
1st,44.9,59
1st,60.3,76
1st,43.4,56
1st,39.5,51
1st,48.6,68
1st,63.5,54
1st,34,64
1st,53.9,62
1st,53.2,67
1st,47.6,78
1st,39.2,49
1st,54,67
1st,59,70
1st,61.3,78
1st,45.7,68
1st,44.5,56
1st,39,60
1st,44.3,56
1st,54,68
1st,45.9,69
1st,57,68
1st,0,33
2nd,60.8,79
2nd,52.7,46
2nd,41.3,57
2nd,60.7,75
2nd,52.2,69
2nd,76.4,49
2nd,58.2,65
2nd,55.8,69
2nd,0,67
2nd,55.3,67
2nd,38.3,53
2nd,54.1,80
2nd,0,42
2nd,0,47
2nd,48.1,74
2nd,48.5,62
2nd,0,58
2nd,0,31
2nd,42.5,61
2nd,32.1,38
2nd,54.6,61
2nd,41.4,54
2nd,38.1,73
2nd,56.5,75
2nd,34.9,23
2nd,44.8,40
2nd,45,63
2nd,0,47
2nd,53.9,69
2nd,61.5,67
2nd,48.6,76
2nd,34.6,57
2nd,0,60
2nd,49.1,70
2nd,59,74
2nd,60.2,81
2nd,58.3,58
2nd,48.1,68
2nd,0,69
2nd,52.8,65
2nd,0,33
2nd,48.7,72
2nd,58.9,73
2nd,50.4,68
2nd,57.2,75
2nd,65.8,82
2nd,51,65
2nd,52.8,73
2nd,60.7,80
2nd,48.2,71
2nd,56.5,72
2nd,62.2,70
2nd,33,45
2nd,46.2,75
2nd,37,56
2nd,47.3,69
2nd,57.8,77
2nd,63.8,81
2nd,49.9,77
2nd,43.7,55
2nd,48.5,70
2nd,57.2,75
2nd,55.4,68
2nd,69.2,82
2nd,48.7,80
2nd,43.9,68
2nd,59.7,71
2nd,52.8,76
2nd,62,67
2nd,38.2,54
2nd,52.3,82
2nd,61.4,81
2nd,39.9,57
2nd,40.2,60
2nd,52.8,54
2nd,46.2,74
2nd,0,67
2nd,40,62
2nd,46.8,72
2nd,53.9,77
2nd,45.6,79
2nd,52.3,63
2nd,40.1,65
2nd,45,72
2nd,67.5,84
2nd,51,74
2nd,45.4,74
2nd,44.3,64
2nd,54.1,62
2nd,0,66
2nd,57.8,64
2nd,60,82
2nd,43.6,73
2nd,32.2,54
2nd,44.8,82
2nd,0,68
2nd,41.3,78
2nd,34.7,64
2nd,0,49
2nd,39.4,63
3rd,58,63
3rd,0,32
3rd,59.5,66
3rd,43.1,40
3rd,62.6,64
3rd,60.5,64
3rd,0,48
3rd,36.5,67
3rd,42.6,57
3rd,50.3,55
3rd,48.5,71
3rd,0,61
3rd,0,47
3rd,63.1,67
3rd,38,56
3rd,0,60
3rd,41.6,68
3rd,40.1,40
3rd,46.2,47
3rd,52.9,67
3rd,57.5,60
3rd,57,73
3rd,0,53
3rd,0,34
3rd,48.8,61
3rd,61.1,58
3rd,61.6,73
3rd,52.9,55
3rd,45.2,54
3rd,61.1,61
3rd,55.4,60
3rd,54.4,68
3rd,45.7,53
3rd,63.6,70
3rd,54.4,69
3rd,58,65
3rd,41.6,39
3rd,46.7,62
3rd,47.7,55
3rd,50.3,56
3rd,37,58
3rd,58.5,52
3rd,52.4,69
3rd,49.3,62
